,deso,q1_pct,q2_pct,q3_pct,q4_pct,median_tkr,avg_tkr,tot_pop
177,0180C2780,5,11,29,55,373.9,402.1,2805
178,0180C2790,8,12,29,52,363.8,418.3,1527
179,0180C2800,13,21,27,38,311.9,333.2,1991
180,0180C2810,6,7,20,67,413.2,487.8,2028
181,0180C2820,21,20,27,33,292.0,345.5,1176
182,0180C2830,8,12,27,53,369.5,410.0,1544
183,0180C2840,12,12,23,52,371.0,441.9,1888
184,0180C2850,20,23,28,30,294.0,308.7,1507
185,0180C2860,13,13,24,51,368.7,460.6,2064
186,0180C2870,14,16,31,39,326.6,357.3,1319
187,0180C2880,5,12,25,59,383.5,446.7,2991
188,0180C2890,14,18,28,41,326.8,347.4,1539
189,0180C2900,7,20,31,42,331.1,362.0,2115
190,0180C2910,18,19,26,37,317.0,343.0,1595
191,0180C2920,15,23,29,34,300.7,332.4,1801
192,0180C2930,23,21,23,33,295.5,340.0,1813
193,0180C2940,11,18,25,46,347.5,389.1,1929
194,0180C2950,9,14,25,53,372.5,428.4,4315
195,0180C2960,10,14,23,53,369.3,417.5,2131
196,0180C2970,16,23,27,34,299.9,336.7,1820
197,0180C2980,4,7,19,69,445.1,566.3,1326
198,0180C2990,21,17,31,31,307.8,318.7,1155
199,0180C3000,15,13,22,50,360.7,404.7,1519
200,0180C3010,29,21,22,28,263.2,299.4,1233
201,0180C3020,17,20,24,39,316.2,510.4,1240
202,0180C3030,23,21,28,28,289.0,299.8,1238
203,0180C3040,20,17,23,40,319.4,383.2,1557
204,0180C3050,29,11,17,43,324.8,376.1,2122
205,0180C3060,11,17,25,47,352.3,402.3,1149
206,0180C3070,7,12,24,58,386.4,435.1,1964
207,0180C3080,15,18,25,42,328.1,350.2,1271
208,0180C3090,20,25,28,28,281.5,304.8,1394
209,0180C3100,9,16,25,51,364.9,422.0,2554
210,0180C3110,25,17,19,38,299.5,369.3,1535
211,0180C3120,4,10,23,63,405.6,436.1,1753
212,0180C3130,12,14,26,48,344.9,393.9,1545
213,0180C3140,16,17,22,45,338.4,377.7,1737
214,0180C3150,19,19,23,39,313.3,348.1,1359
215,0180C3160,16,19,29,35,315.3,345.7,1911
216,0180C3170,14,15,22,49,353.6,443.4,1531
